county,number_of_education_institutions_public_private_preprimary_ece,number_of_education_institutions_public_private_primary,number_of_education_institutions_public_private_secondary,net_enrolment_rate_ner_male_preprimary_ece,net_enrolment_rate_ner_female_preprimary_ece,net_enrolment_rate_ner_total_preprimary_ece,net_enrolment_rate_ner_male_primary,net_enrolment_rate_ner_female_primary,net_enrolment_rate_ner_total_primary,net_enrolment_rate_ner_male_secondary,net_enrolment_rate_ner_female_secondary,net_enrolment_rate_ner_total_secondary,gender_parity_index_total_preprimary_ece,gender_parity_index_total_primary,gender_parity_index_total_secondary,learner_to_teacher_ratio_in_public_schools_total_preprimary_ece,learner_to_teacher_ratio_in_public_schools_total_primary,learner_to_teacher_ratio_in_public_schools_total_secondary,learner_classroom_ratio_in_public_schools_total_preprimary_ece,learner_classroom_ratio_in_public_schools_total_primary,learner_classroom_ratio_in_public_schools_total_secondary,primary_to_secondary_transition_rate_male_secondary,primary_to_secondary_transition_rate_female_secondary,primary_to_secondary_transition_rate_total_secondary,learner_to_toilet_ratio_in_public_schools_male_preprimary_ece,learner_to_toilet_ratio_in_public_schools_female_preprimary_ece,learner_to_toilet_ratio_in_public_schools_total_preprimary_ece,learner_to_toilet_ratio_in_public_schools_male_primary,learner_to_toilet_ratio_in_public_schools_female_primary,learner_to_toilet_ratio_in_public_schools_total_primary,learner_to_toilet_ratio_in_public_schools_male_secondary,learner_to_toilet_ratio_in_public_schools_female_secondary,learner_to_toilet_ratio_in_public_schools_total_secondary,fgm_percentage_of_women_aged_15_49_yrs_who_were_ever_circumcised_across_kenya_female_total,percentage_of_students_with_no_access_to_improved_water_source_total,number_of_schools_with_no_water_source_total,students_dropout_absenteeism_during_2022_female_preprimary_ece,students_dropout_absenteeism_during_2022_male_preprimary_ece,students_dropout_absenteeism_during_2022_total_preprimary_ece,students_dropout_absenteeism_during_2022_female_primary,students_dropout_absenteeism_during_2022_male_primary,students_dropout_absenteeism_during_2022_total_primary,students_dropout_absenteeism_during_2022_female_secondary,students_dropout_absenteeism_during_2022_male_secondary,students_dropout_absenteeism_during_2022_total_secondary,county_population_female_total,county_population_male_total,county_population_total_total,school_age_children_female_total,school_age_children_male_total,school_age_children_total_total,out_of_school_children_female_preprimary_ece,out_of_school_children_male_preprimary_ece,out_of_school_children_total_preprimary_ece,out_of_school_children_female_primary,out_of_school_children_male_primary,out_of_school_children_total_primary,out_of_school_children_female_secondary,out_of_school_children_male_secondary,out_of_school_children_total_secondary,percentage_of_teenage_pregnancy_for_girls_women_aged_15_19_yrs_who_have_ever_been_pregnant_female_total,gbv_percentage_of_girls_women_who_have_experienced_physical_violence_since_age_15_female_total,gbv_percentage_of_girls_women_aged_15_49_yrs_who_have_ever_experienced_sexual_violence_female_total,learner_toilet_ratio_recalculated_total_preprimary_ece,learner_toilet_ratio_recalculated_total_primary,learner_toilet_ratio_recalculated_total_secondary,learner_toilet_ratio_recalculated_male_preprimary_ece,learner_toilet_ratio_recalculated_female_preprimary_ece,learner_toilet_ratio_recalculated_male_primary,learner_toilet_ratio_recalculated_female_primary,learner_toilet_ratio_recalculated_male_secondary,learner_toilet_ratio_recalculated_female_secondary
National,46652,31464,10390,111.5,110.8,111.2,78.6,77.7,78.1,51.2,57.2,54.1,0.97,0.96,1.01,52,40,29,53,37,40,87,87.1,87.1,40,34,37,33,30,32,22,18,20,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.810786174461334,31.46104299072659,19.79971021374014,40,34,33,30,22,18
Makueni,1472,1017,407,144.3,144.3,144.3,98.8,95.4,97.1,75.1,87.7,81.2,0.96,0.94,1.04,36,29,28,29,28,39,90.5,91.4,90.9,16,14,15,24,21,23,19,16,18,NA,65,926,1060,30483,31543,12837,12840,25677,1837,1837,3674,529230,513070,1042300,157386,152718,310104,3900,4500,8400,1360,1770,3130,2150,3430,5580,0.111,0.227,0.047,14.957563792507774,22.44572356155689,17.353292827448694,16,14,24,21,19,16
Mandera,353,345,65,100.6,58.9,78.4,44.1,27.6,35.8,12.7,9.8,11.4,0.66,0.6,0.54,125,126,40,108,44,36,85.8,81.8,84.3,185,143,164,94,63,78.5,30,24,27,NA,70,269,1561,1376,2937,1608,1800,3408,0,0,0,469826,489410,959236,198797,191841,390638,32660,28340,61000,86430,83620,170050,29970,34450,64420,0.146,0.086,0.008,165.7446663922253,79.72806154060731,27.579241112771182,185,143,94,63,30,24
Marsabit,264,229,48,100.6,58.9,78.4,44.1,27.6,35.8,12.7,9.8,11.4,1.03,0.97,0.96,61,41,20,85,38,35,79.7,78.9,79.3,76,79,77.5,43,39,41,22,19,21,NA,66,131,146,712,858,873,866,1739,521,436,957,259237,256056,515292,102680,101970,204650,10060,10700,20760,27780,31040,58820,11300,16720,28020,0.294,0.164,0.01,77.49769300426902,40.89346420526023,20.420921622686095,76,79,43,39,22,19
Meru,1180,1016,410,122.5,123.8,123.1,81.9,81.4,81.7,58.1,65.6,61.9,0.98,0.98,1.11,47,31,28,50,30,38,85.8,86.9,86.4,31,26,28.5,24,20,22,18,15,17,NA,25,233,3066,2921,5987,18043,16530,34573,6172,5147,11319,817774,808208,1625982,244413,241502,485915,5710,6260,11970,5280,6590,11870,7940,10260,18200,0.236,0.358,0.16,28.332305833604497,21.84923604537987,16.302898281220944,31,26,24,20,18,15
Samburu,616,205,52,68.6,64.1,66.4,45,43,44,30.4,29.6,30,0.9,0.9,0.74,39,40,22,61,37,31,78.9,82.6,80.6,85,75,80,50,40,45,21,18,20,NA,48,135,0,0,0,2504,2609,5113,93,1408,1501,175936,172362,348298,136615,133304,269919,6420,6290,12710,17560,19130,36690,6570,8840,15410,0.501,0.486,0.069,79.9312931834588,44.67292013082349,19.61356651052921,85,75,50,40,21,18
Tana River,367,207,35,96.5,91.4,94,47.3,48.8,48.1,19.6,18.1,18.9,0.9,0.97,0.83,82,35,24,73,38,33,84.3,80.3,82.4,100,88,94,50,43,47,29,18,24,NA,53,122,461,1446,1907,1356,1271,2627,0,0,0,178288,174260,352549,71353,69423,140776,6490,6950,13440,12940,13140,26080,5430,4990,10420,0.176,0.358,0.023,93.91505647495724,46.28076632035124,22.699773666470303,100,88,50,43,29,18
Tharaka-Nithi,557,545,160,168.6,171.2,169.9,100.8,98.9,99.9,91.2,102.8,97,1,0.97,1.08,29,22,24,31,20,37,87.1,88.9,88.1,16,14,15,18,16,17,17,14,16,NA,23,164,65,45,110,1080,941,2021,3,81,84,211732,204652,416383,57717,57545,115262,1450,1400,2850,1020,1240,2260,1300,1400,2700,0.099,0.346,0.125,14.941116808474671,16.96167447935403,15.32588024115049,16,14,18,16,17,14
Turkana,942,471,61,168.9,163.7,166.4,53.7,52.2,53,17.1,16.2,16.7,0.94,0.9,0.62,156,88,49,175,34,53,85.3,79,82.3,187,176,181.5,88,65,77,40,28,34,NA,38,206,304,0,304,0,0,0,0,530,530,517384,505390,1022773,204247,198968,403215,21230,22080,43310,68540,75980,144520,27820,37990,65810,0.185,0.424,0.108,181.4976807062876,75.37805990113162,34.327208796492826,187,176,88,65,40,28
Wajir,312,312,62,58.2,47.1,52.7,25.8,23.3,24.6,15.5,13,14.5,0.8,0.77,0.58,58,80,46,72,34,42,84.2,82.2,83.4,136,113,125,72,55,64,46,28,37,NA,50,190,593,862,1455,2465,3097,5562,1086,1792,2878,438918,431718,870636,174715,172757,347472,26160,25730,51890,70890,81240,152130,26030,36490,62520,0.108,0.132,0.015,124.78322525600706,58.01546608388669,37.31794948887553,136,113,66,50,46,28
Baringo,1181,846,183,130.1,133.6,131.8,78.8,77.7,78.3,49.5,55.3,52.2,0.96,0.94,1.01,34,26,23,35,23,37,86,86.8,86.4,37,32,35,32,27,30,20,17,19,NA,49,503,1036,77,1113,579,1269,1848,32,25,57,371883,361450,733333,136616,133304,269920,6510,7260,13770,16030,18970,35000,6880,8760,15640,0.203,0.379,0.084,34.380221957336794,29.366164003415467,18.37000483132725,37,32,32,27,20,17
Garissa,410,322,68,60.1,52.7,56.5,27.6,25.6,26.7,9,11.3,9.9,0.81,0.73,0.68,103,81,30,48,33,35,84.8,86.4,85.4,68,56,62,49,35,42,23,26,25,NA,40,126,221,60,281,299,401,700,79,106,185,468506,458525,927031,170548,163146,333694,22980,27050,50030,75910,90100,166010,28540,44830,73370,0.148,0.21,0.058,62.17058087035702,41.97569342760323,24.205510696841937,68,56,49,35,23,26
Isiolo,249,160,35,99.4,106.9,103.1,35,39.3,37.1,18.7,22.4,20.4,1.05,1.08,0.98,40,28,19,64,33,30,74,67.5,70.4,76,78,77,30,30,30,19,18,19,NA,37,63,0,0,0,0,0,0,0,0,0,161431,154506,315937,60018,57625,117643,3860,4630,8490,10150,11930,22080,4260,7030,11290,0.167,0.456,0.092,77.02715421851526,30,18.485987649086017,76,78,30,30,19,18
Kitui,2219,1523,455,152.7,151.4,152.1,98.8,97.1,98,48.1,58.3,53.1,0.97,0.95,1.1,35,42,26,35,24,34,81.5,82.7,82.1,22,15,18.5,13,23,18,17,15,16,NA,69,1392,518,996,1514,11226,6432,17658,4650,1389,6039,626579,603211,1229790,205712,201432,407144,6320,7510,13830,4090,4630,8720,4650,5530,10180,0.092,0.115,0.009,17.894414264595913,16.492389759786057,15.89786654507349,22,15,13,23,17,15
Laikipia,567,373,140,116.7,115.1,115.9,79.9,80.5,80.2,54.2,64.7,59.3,0.97,0.95,1.02,48,32,25,41,31,36,87.6,88.6,88.1,37,33,35,26,21,29,18,14,16,NA,32,168,0,0,0,9075,8935,18010,1521,10450,11971,290317,270906,561223,94802,93214,188016,3240,3480,6720,4630,5320,9950,2450,3860,6310,0.091,0.345,0.109,34.935362928661625,23.310729954942513,15.771101209420753,37,33,26,21,18,14
Embu,606,519,209,134.9,132.9,133.9,87.3,87,87.1,73.3,78.7,75.9,0.95,0.96,0.99,44,26,24,46,25,37,89.7,90.2,90,23,17,20,19,16,17.5,12,13,13,NA,24,169,973,1409,2382,0,0,0,12,921,933,328389,320035,648425,89600,89781,179381,1960,2310,4270,820,850,1670,1570,2450,4020,0.144,0.403,0.215,19.65263806463483,17.405123643018026,12.466244084755004,23,17,19,16,12,13
Kajiado,1242,679,165,77.4,74.9,76.2,62.7,61.5,62.1,35.5,39,37.3,0.94,0.97,1.03,50,40,28,50,38,42,84.6,84,84.3,35,26,31,45,37,41,25,20,23,NA,32,228,189,3474,3663,0,0,0,0,0,0,637480,630782,1268261,204304,200521,404825,10140,9240,19380,9950,11170,21120,5660,6180,11840,0.218,0.361,0.169,30.061770821932804,40.674190806427674,22.293295427623782,35,26,45,37,25,20
Kilifi,1562,795,200,110.2,110.3,110.3,79.2,78.5,78.8,28.9,32.9,30.9,0.98,0.97,0.92,52,57,40,54,51,42,81.9,80.9,81.4,59,53,56,42,48,45,33,30,32,NA,39,323,8687,13977,22664,1150,2063,3213,0,0,0,793343,783992,1577335,214024,243661,457685,10940,11920,22860,7910,8400,16310,6190,5850,12040,0.125,0.201,0.122,55.86629688155051,44.752661077879715,31.489839304331618,59,53,42,48,33,30
