county,age_modifier,enrolment,toilets,learner_toilet_ratio,sex_modifier
Baringo,preprimary,49598,1442.6317567567567,34.380221957336794,total
Baringo,primary,142663,4858.074074074074,29.366164003415467,total
Baringo,secondary,49094,2672.5088235294115,18.37000483132725,total
Bomet,preprimary,49379,1474.0499108734402,33.4988657003756,total
Bomet,primary,201436,6514.131661442007,30.92292426208176,total
Bomet,secondary,96049,4686.759523809524,20.493690685868344,total
Bungoma,preprimary,74058,981.4988650253187,75.45398434881491,total
Bungoma,primary,464575,9983.836996336995,46.53271083757172,total
Bungoma,secondary,168770,6769.358974358975,24.931459631446373,total
Busia,preprimary,53236,815.8744740532959,65.25023357517425,total
Busia,primary,238795,4618.482142857143,51.704216366694375,total
Busia,secondary,70930,2540.3908045977014,27.920900938402088,total
Elgeyo Marakwet,preprimary,32783,901.7285067873304,36.35573207816059,total
Elgeyo Marakwet,primary,109727,4516.488215488215,24.29476061151173,total
Elgeyo Marakwet,secondary,45087,2666.104166666667,16.91119220460566,total
Embu,preprimary,23494,1195.462915601023,19.65263806463483,total
Embu,primary,97052,5576.059210526316,17.405123643018026,total
Embu,secondary,57601,4620.557692307692,12.466244084755004,total
Garissa,preprimary,20655,332.2310924369748,62.17058087035702,total
Garissa,primary,57334,1365.8857142857141,41.97569342760323,total
Garissa,secondary,13931,575.5301003344482,24.205510696841937,total
Homa Bay,preprimary,84914,1479.5060606060606,57.393478986639686,total
Homa Bay,primary,291321,6205.527891156463,46.94540176270312,total
Homa Bay,secondary,116415,5109.830769230769,22.782554894185868,total
Isiolo,preprimary,14479,187.97267206477733,77.02715421851526,total
Isiolo,primary,29382,979.4,30,total
Isiolo,secondary,7011,379.2602339181287,18.485987649086017,total
Kajiado,preprimary,30184,1004.065934065934,30.061770821932804,total
Kajiado,primary,144848,3561.1771771771773,40.674190806427674,total
Kajiado,secondary,36699,1646.19,22.293295427623786,total
Kakamega,preprimary,162044,2332.643744821872,69.46795898847134,total
Kakamega,primary,535133,14787.276515151516,36.18874641667014,total
Kakamega,secondary,183255,7913.0952380952385,23.15844741988867,total
Kericho,preprimary,49174,1860.982857142857,26.42367166965536,total
Kericho,primary,175931,7066.09500805153,24.897910345039758,total
Kericho,secondary,93225,5125.446428571428,18.18865952443167,total
Kiambu,preprimary,41898,1937.1157894736841,21.62906328453588,total
Kiambu,primary,228677,8899.008995502249,25.696906264009655,total
Kiambu,secondary,135681,7492.800595238095,18.10818241796391,total
Kilifi,preprimary,73128,1308.9824112567958,55.86629688155051,total
Kilifi,primary,324450,7249.848214285714,44.752661077879715,total
Kilifi,secondary,81917,2601.378787878788,31.489839304331618,total
Kirinyaga,preprimary,19795,785.4028213166143,25.203627314218892,total
Kirinyaga,primary,75127,4904.995798319328,15.316424944898401,total
Kirinyaga,secondary,54687,3159.2861842105262,17.309922815259526,total
Kisii,preprimary,65365,1470.5540950455006,44.449231905323096,total
Kisii,primary,268067,7785.583333333334,34.4312029713038,total
Kisii,secondary,139165,6970.814536340852,19.96395102387146,total
Kisumu,preprimary,56488,1433.0488559059988,39.418055963128545,total
Kisumu,primary,258918,5910.734820965231,43.80470581790004,total
Kisumu,secondary,97882,3764.6923076923076,26,total
Kitui,preprimary,78388,4380.584848484848,17.894414264595913,total
Kitui,primary,288098,17468.541806020068,16.492389759786057,total
Kitui,secondary,103640,6519.113725490196,15.89786654507349,total
Kwale,preprimary,52811,1035.6948893974065,50.99088596519654,total
Kwale,primary,201289,4667.746794871795,43.12337597685151,total
Kwale,secondary,42886,1873.0240740740742,22.896662458116353,total
Laikipia,preprimary,24085,689.4160524160525,34.935362928661625,total
Laikipia,primary,86567,3713.611721611722,23.310729954942513,total
Laikipia,secondary,41294,2618.333333333333,15.771101209420753,total
Lamu,preprimary,7629,127.37946428571429,59.891914625170855,total
Lamu,primary,29115,736.975641025641,39.50605471773934,total
Lamu,secondary,8145,402,20.261194029850746,total
Machakos,preprimary,41615,2874.777777777778,14.475901518957986,total
Machakos,primary,233653,9775.402097902097,23.902136982185556,total
Machakos,secondary,111401,6221.272445820434,17.9064654329423,total
Makueni,preprimary,54117,3618.035714285714,14.957563792507774,total
Makueni,primary,231116,10296.660714285714,22.445723561556886,total
Makueni,secondary,121384,6994.868421052632,17.353292827448694,total
Mandera,preprimary,54302,327.62441882441885,165.7446663922253,total
Mandera,primary,105407,1322.0815602836878,79.72806154060731,total
Mandera,secondary,18613,674.8916666666667,27.579241112771186,total
Marsabit,preprimary,14368,185.39906728847433,77.49769300426902,total
Marsabit,primary,53344,1304.4627310673823,40.89346420526023,total
Marsabit,secondary,9303,455.5622009569378,20.420921622686098,total
Meru,preprimary,66221,2337.2965260545907,28.332305833604494,total
Meru,primary,258343,11823.891666666666,21.84923604537987,total
Meru,secondary,122738,7528.6,16.302898281220944,total
Migori,preprimary,76511,1275.409090909091,59.98937952172208,total
